Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Module-1-Login,Chrome 108.0.0.0,,,2023-01-08 12:38:12,2023-01-08 12:39:24,1m - 12.146s,PASSED
,,,,,,,
Test Cases/Login - Call,Chrome 108.0.0.0,call data form login using username1,Adjustment,2023-01-08 12:38:13,2023-01-08 12:38:23,10.352s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2023-01-08 12:38:13,2023-01-08 12:38:17,3.453s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 108.0.0.0,,,2023-01-08 12:38:17,2023-01-08 12:38:17,0.439s,PASSED
"setText(findTestObject(""Login_Page/username""), username1)",Chrome 108.0.0.0,,,2023-01-08 12:38:17,2023-01-08 12:38:18,1.304s,PASSED
"setEncryptedText(findTestObject(""Login_Page/password""), ""qcu24s4901FyWDTwXGr6XA=="")",Chrome 108.0.0.0,,,2023-01-08 12:38:18,2023-01-08 12:38:19,0.678s,PASSED
"click(findTestObject(""Login_Page/btn_login""))",Chrome 108.0.0.0,,,2023-01-08 12:38:19,2023-01-08 12:38:20,0.754s,PASSED
delay(3),Chrome 108.0.0.0,,,2023-01-08 12:38:20,2023-01-08 12:38:23,3.060s,PASSED
,,,,,,,
Test Cases/Login - Empty Login,Chrome 108.0.0.0,As a user i shoudn't login with empty username and empty password,Negative,2023-01-08 12:38:23,2023-01-08 12:38:32,8.577s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2023-01-08 12:38:23,2023-01-08 12:38:26,2.710s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 108.0.0.0,,,2023-01-08 12:38:26,2023-01-08 12:38:27,0.480s,PASSED
"setEncryptedText(findTestObject(""Login_Page/password""), ""qcu24s4901FyWDTwXGr6XA=="")",Chrome 108.0.0.0,,,2023-01-08 12:38:27,2023-01-08 12:38:27,0.852s,PASSED
"click(findTestObject(""Login_Page/btn_login""))",Chrome 108.0.0.0,,,2023-01-08 12:38:27,2023-01-08 12:38:28,0.573s,PASSED
"verifyElementPresent(findTestObject(""err-message/err-empty_username""), 5)",Chrome 108.0.0.0,,,2023-01-08 12:38:28,2023-01-08 12:38:28,0.527s,PASSED
refresh(STOP_ON_FAILURE),Chrome 108.0.0.0,,,2023-01-08 12:38:28,2023-01-08 12:38:29,0.167s,PASSED
"setText(findTestObject(""Login_Page/username""), ""standard_user"")",Chrome 108.0.0.0,,,2023-01-08 12:38:29,2023-01-08 12:38:30,0.989s,PASSED
"click(findTestObject(""Login_Page/btn_login""))",Chrome 108.0.0.0,,,2023-01-08 12:38:30,2023-01-08 12:38:30,0.574s,PASSED
"verifyElementPresent(findTestObject(""err-message/err-empty_password""), 5)",Chrome 108.0.0.0,,,2023-01-08 12:38:30,2023-01-08 12:38:31,0.498s,PASSED
closeBrowser(STOP_ON_FAILURE),Chrome 108.0.0.0,,,2023-01-08 12:38:31,2023-01-08 12:38:32,0.847s,PASSED
,,,,,,,
Test Cases/Login - Open website,Chrome 108.0.0.0,As a user before login i should access https://www.saucedemo.com/ and i should see login form and login button,Positive,2023-01-08 12:38:32,2023-01-08 12:38:38,5.980s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2023-01-08 12:38:32,2023-01-08 12:38:33,1.576s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 108.0.0.0,,,2023-01-08 12:38:33,2023-01-08 12:38:34,0.613s,PASSED
"verifyElementPresent(findTestObject(""Login_Page/username""), 0)",Chrome 108.0.0.0,,,2023-01-08 12:38:34,2023-01-08 12:38:35,0.614s,PASSED
"verifyElementPresent(findTestObject(""Login_Page/password""), 0)",Chrome 108.0.0.0,,,2023-01-08 12:38:35,2023-01-08 12:38:35,0.454s,PASSED
