Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Module-2-Inventory _Sort,Chrome 108.0.0.0,,,2023-01-08 18:01:34,2023-01-08 18:05:16,3m - 41.264s,PASSED
,,,,,,,
Test Cases/Module- Inventory and Sort/Inventory - Add items to carts,Chrome 108.0.0.0,As a user i should be able to add items to cart,Positive,2023-01-08 18:01:35,2023-01-08 18:01:57,21.917s,PASSED
"callTestCase(findTestCase(""Module-Login/Login - Call""), [""username1"":""standard_user"", ""username2"":""problem_user"", ""username3"":""performance_glitch_user"", ""password"":""secret_sauce""], STOP_ON_FAILURE)",Chrome 108.0.0.0,,,2023-01-08 18:01:36,2023-01-08 18:01:49,13.220s,PASSED
waitForPageLoad(10),Chrome 108.0.0.0,,,2023-01-08 18:01:49,2023-01-08 18:01:49,0.279s,PASSED
"click(findTestObject(""btn_items/items1_add to cart""))",Chrome 108.0.0.0,,,2023-01-08 18:01:49,2023-01-08 18:01:50,0.576s,PASSED
"verifyElementPresent(findTestObject(""cart_counter/cart_icon1""), 5)",Chrome 108.0.0.0,,,2023-01-08 18:01:50,2023-01-08 18:01:51,0.517s,PASSED
"click(findTestObject(""btn_items/items2_add to cart""))",Chrome 108.0.0.0,,,2023-01-08 18:01:51,2023-01-08 18:01:51,0.488s,PASSED
"verifyElementPresent(findTestObject(""cart_counter/cart_icon2""), 5)",Chrome 108.0.0.0,,,2023-01-08 18:01:51,2023-01-08 18:01:52,0.524s,PASSED
"click(findTestObject(""btn_items/items3_add to cart""))",Chrome 108.0.0.0,,,2023-01-08 18:01:52,2023-01-08 18:01:52,0.498s,PASSED
"verifyElementPresent(findTestObject(""cart_counter/cart_icon3""), 5)",Chrome 108.0.0.0,,,2023-01-08 18:01:52,2023-01-08 18:01:53,0.522s,PASSED
"click(findTestObject(""btn_items/items4_add to cart""))",Chrome 108.0.0.0,,,2023-01-08 18:01:53,2023-01-08 18:01:53,0.509s,PASSED
"verifyElementPresent(findTestObject(""cart_counter/cart_icon4""), 5)",Chrome 108.0.0.0,,,2023-01-08 18:01:53,2023-01-08 18:01:54,0.426s,PASSED
"click(findTestObject(""btn_items/items5_add to cart""))",Chrome 108.0.0.0,,,2023-01-08 18:01:54,2023-01-08 18:01:54,0.580s,PASSED
"verifyElementPresent(findTestObject(""cart_counter/cart_icon5""), 5)",Chrome 108.0.0.0,,,2023-01-08 18:01:54,2023-01-08 18:01:55,0.531s,PASSED
"click(findTestObject(""btn_items/items6_add to cart""))",Chrome 108.0.0.0,,,2023-01-08 18:01:55,2023-01-08 18:01:55,0.605s,PASSED
"verifyElementPresent(findTestObject(""cart_counter/cart_icon6""), 5)",Chrome 108.0.0.0,,,2023-01-08 18:01:55,2023-01-08 18:01:56,0.446s,PASSED
closeBrowser(STOP_ON_FAILURE),Chrome 108.0.0.0,,,2023-01-08 18:01:56,2023-01-08 18:01:57,1.147s,PASSED
,,,,,,,
Test Cases/Module- Inventory and Sort/Inventory - Page,Chrome 108.0.0.0,As a user i should be able to access and see the inventory page,Positive,2023-01-08 18:01:57,2023-01-08 18:02:15,17.933s,PASSED
"callTestCase(findTestCase(""Module-Login/Login - Call""), [""username1"":""standard_user"", ""username2"":""problem_user"", ""username3"":""performance_glitch_user"", ""password"":""secret_sauce""], STOP_ON_FAILURE)",Chrome 108.0.0.0,,,2023-01-08 18:01:58,2023-01-08 18:02:07,9.234s,PASSED
waitForPageLoad(10),Chrome 108.0.0.0,,,2023-01-08 18:02:07,2023-01-08 18:02:07,0.040s,PASSED
"verifyElementPresent(findTestObject(""items/items1""), 0)",Chrome 108.0.0.0,,,2023-01-08 18:02:07,2023-01-08 18:02:08,0.572s,PASSED
"verifyElementPresent(findTestObject(""items/items2""), 0)",Chrome 108.0.0.0,,,2023-01-08 18:02:08,2023-01-08 18:02:08,0.561s,PASSED
"verifyElementPresent(findTestObject(""items/items3""), 0)",Chrome 108.0.0.0,,,2023-01-08 18:02:08,2023-01-08 18:02:09,0.533s,PASSED
"verifyElementPresent(findTestObject(""items/items4""), 0)",Chrome 108.0.0.0,,,2023-01-08 18:02:09,2023-01-08 18:02:09,0.560s,PASSED
"verifyElementPresent(findTestObject(""items/items5""), 0)",Chrome 108.0.0.0,,,2023-01-08 18:02:09,2023-01-08 18:02:10,0.484s,PASSED
"verifyElementPresent(findTestObject(""items/items6""), 0)",Chrome 108.0.0.0,,,2023-01-08 18:02:10,2023-01-08 18:02:10,0.596s,PASSED
"verifyElementClickable(findTestObject(""btn_items/items1_add to cart""))",Chrome 108.0.0.0,,,2023-01-08 18:02:10,2023-01-08 18:02:11,0.530s,PASSED
"verifyElementClickable(findTestObject(""btn_items/items2_add to cart""))",Chrome 108.0.0.0,,,2023-01-08 18:02:11,2023-01-08 18:02:11,0.567s,PASSED
"verifyElementClickable(findTestObject(""btn_items/items3_add to cart""))",Chrome 108.0.0.0,,,2023-01-08 18:02:11,2023-01-08 18:02:12,0.551s,PASSED
"verifyElementClickable(findTestObject(""btn_items/items4_add to cart""))",Chrome 108.0.0.0,,,2023-01-08 18:02:12,2023-01-08 18:02:13,0.519s,PASSED
"verifyElementClickable(findTestObject(""btn_items/items5_add to cart""))",Chrome 108.0.0.0,,,2023-01-08 18:02:13,2023-01-08 18:02:13,0.629s,PASSED
"verifyElementClickable(findTestObject(""btn_items/items6_add to cart""))",Chrome 108.0.0.0,,,2023-01-08 18:02:13,2023-01-08 18:02:14,0.551s,PASSED
closeBrowser(STOP_ON_FAILURE),Chrome 108.0.0.0,,,2023-01-08 18:02:14,2023-01-08 18:02:15,1.103s,PASSED
,,,,,,,
Test Cases/Module- Inventory and Sort/Inventory - Remove items,Chrome 108.0.0.0,As a user i should be able to remove items,Positive,2023-01-08 18:02:15,2023-01-08 18:02:39,24.694s,PASSED
"callTestCase(findTestCase(""Module-Login/Login - Call""), [""username1"":""standard_user"", ""username2"":""problem_user"", ""username3"":""performance_glitch_user"", ""password"":""secret_sauce""], STOP_ON_FAILURE)",Chrome 108.0.0.0,,,2023-01-08 18:02:16,2023-01-08 18:02:26,9.692s,PASSED
waitForPageLoad(10),Chrome 108.0.0.0,,,2023-01-08 18:02:26,2023-01-08 18:02:26,0.036s,PASSED
"click(findTestObject(""btn_items/items1_add to cart""))",Chrome 108.0.0.0,,,2023-01-08 18:02:26,2023-01-08 18:02:26,0.567s,PASSED
"verifyElementPresent(findTestObject(""cart_counter/cart_icon1""), 5)",Chrome 108.0.0.0,,,2023-01-08 18:02:26,2023-01-08 18:02:27,0.571s,PASSED
