Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Module-3-Cart,Chrome 108.0.0.0,,,2023-01-08 18:51:24,2023-01-08 18:52:42,1m - 18.401s,PASSED
,,,,,,,
Test Cases/Module- Cart/Cart - Checkout empty cart,Chrome 108.0.0.0,As a user i should't be able to checkout an empty cart,Negative,2023-01-08 18:51:24,2023-01-08 18:51:37,13.595s,PASSED
"callTestCase(findTestCase(""Module-Login/Login - Call""), [""username1"":""standard_user"", ""username2"":""problem_user"", ""username3"":""performance_glitch_user"", ""password"":""secret_sauce""], STOP_ON_FAILURE)",Chrome 108.0.0.0,,,2023-01-08 18:51:24,2023-01-08 18:51:35,10.734s,PASSED
"click(findTestObject(""cart/cart""))",Chrome 108.0.0.0,,,2023-01-08 18:51:35,2023-01-08 18:51:36,0.521s,PASSED
"click(findTestObject(""cart/button_Checkout""))",Chrome 108.0.0.0,,,2023-01-08 18:51:36,2023-01-08 18:51:36,0.513s,PASSED
"verifyElementPresent(findTestObject(""form/header""), 5, CONTINUE_ON_FAILURE)",Chrome 108.0.0.0,,,2023-01-08 18:51:36,2023-01-08 18:51:37,0.489s,PASSED
closeBrowser(STOP_ON_FAILURE),Chrome 108.0.0.0,,,2023-01-08 18:51:37,2023-01-08 18:51:37,0.814s,PASSED
,,,,,,,
Test Cases/Module- Cart/Cart - Checkout items,Chrome 108.0.0.0,As a user i should be able to checkout the items in cart,Positive,2023-01-08 18:51:37,2023-01-08 18:51:54,16.486s,PASSED
"callTestCase(findTestCase(""Module- Inventory and Sort/Inventory - Call""), [:], STOP_ON_FAILURE)",Chrome 108.0.0.0,,,2023-01-08 18:51:38,2023-01-08 18:51:52,14.307s,PASSED
"click(findTestObject(""cart/button_Checkout""))",Chrome 108.0.0.0,,,2023-01-08 18:51:52,2023-01-08 18:51:53,0.510s,PASSED
"verifyElementPresent(findTestObject(""form/header""), 10)",Chrome 108.0.0.0,,,2023-01-08 18:51:53,2023-01-08 18:51:53,0.495s,PASSED
closeBrowser(STOP_ON_FAILURE),Chrome 108.0.0.0,,,2023-01-08 18:51:53,2023-01-08 18:51:54,0.787s,PASSED
,,,,,,,
Test Cases/Module- Cart/Cart - Remove items in cart,Chrome 108.0.0.0,As a user i should be able to remove items form cart,Positive,2023-01-08 18:51:54,2023-01-08 18:52:13,18.628s,PASSED
