Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Module-4-Checkout,Chrome 108.0.0.0,,,2023-01-08 19:32:01,2023-01-08 19:33:43,1m - 42.349s,PASSED
,,,,,,,
Test Cases/Module- Checkout/Checkout page,Chrome 108.0.0.0,As a user i should be able to see checkout page form,Positive,2023-01-08 19:32:01,2023-01-08 19:32:24,23.245s,PASSED
"callTestCase(findTestCase(""Module- Cart/Cart - Call""), [:], STOP_ON_FAILURE)",Chrome 108.0.0.0,,,2023-01-08 19:32:02,2023-01-08 19:32:21,19.435s,PASSED
waitForPageLoad(10),Chrome 108.0.0.0,,,2023-01-08 19:32:21,2023-01-08 19:32:21,0.023s,PASSED
"verifyElementPresent(findTestObject(""form/header""), 0)",Chrome 108.0.0.0,,,2023-01-08 19:32:21,2023-01-08 19:32:22,0.441s,PASSED
"verifyElementPresent(findTestObject(""form/firstName""), 0)",Chrome 108.0.0.0,,,2023-01-08 19:32:22,2023-01-08 19:32:22,0.451s,PASSED
"verifyElementPresent(findTestObject(""form/form_information""), 0)",Chrome 108.0.0.0,,,2023-01-08 19:32:22,2023-01-08 19:32:23,0.440s,PASSED
"verifyElementPresent(findTestObject(""form/input_Cancel_continue""), 0)",Chrome 108.0.0.0,,,2023-01-08 19:32:23,2023-01-08 19:32:23,0.363s,PASSED
"verifyElementPresent(findTestObject(""form/lastName""), 0)",Chrome 108.0.0.0,,,2023-01-08 19:32:23,2023-01-08 19:32:23,0.346s,PASSED
"verifyElementPresent(findTestObject(""form/postalCode""), 0)",Chrome 108.0.0.0,,,2023-01-08 19:32:23,2023-01-08 19:32:24,0.446s,PASSED
closeBrowser(STOP_ON_FAILURE),Chrome 108.0.0.0,,,2023-01-08 19:32:24,2023-01-08 19:32:24,0.772s,PASSED
,,,,,,,
Test Cases/Module- Checkout/Checkout succes with valid value,Chrome 108.0.0.0,As a user i should be able to insert valid form,Positive,2023-01-08 19:32:24,2023-01-08 19:32:45,20.210s,PASSED
